"ID","revision","have-sdat","have-odc","have-l-thumb","have-s-thumb","extra data"
"00000000-00000000-00000000-01050014","0","1","1","0","1",""
"00000000-00000000-00000000-01030032","0","1","1","0","1",""
"054D6FF8-5F894D48-9FE3D6DF-C6F81E9E","31","1","1","1","1",""
"FBFDE627-78C24182-998B3D04-48CFE66C","33","1","1","1","1",""
"00000000-00000000-00000002-00000008","34","1","1","0","1",""
"00000000-00000000-00000002-00000003","1","1","1","0","1",""
"00000000-00000000-00000002-00000001","34","1","1","0","1",""
"00000000-00000000-00000002-00000002","0","1","1","0","1",""
"00000000-00000000-00000002-00000010","0","1","1","0","1",""
"00000000-00000000-00000002-00000009","0","1","1","0","1",""
"00000000-00000000-00000002-00000005","0","1","1","0","1",""
"00000000-00000000-00000002-00000004","34","1","1","0","1",""
"A5EE3340-2F534E39-A3046574-2DB4955B","40","1","1","1","1",""
"4B66AFF6-FD7F4CBD-B097D81D-F2B6C390","34","1","1","1","1",""
"B0A18BB2-DDAC473E-A1AEA599-72925CD9","33","1","1","1","1",""
"031E6811-F6DE43EB-88CAD0C8-D46D3FCC","33","1","1","1","1",""
"E8CA7665-8A8647F3-8E745A43-5B435314","36","1","1","1","1",""
"46FA1B9C-C3BB43B4-B05DE3D0-14E3D9FF","35","1","1","1","1",""
"C5A868B8-DB084F36-9B07F332-A25D3659","47","1","1","1","1",""
"14AD29E9-E33F47B3-A97CA867-519D1BC2","33","1","1","1","1",""
"38933E13-D92B45C9-9EDF5D93-E2AAF125","32","1","1","1","1",""
"2A5E9F1D-317D419C-9E9852B0-A52092DE","33","1","1","1","1",""
"0B621AB3-6B0F4FD6-87924A90-C4B31182","32","1","1","1","1",""
"36C3F3B1-02D04DA8-B8459F7B-57D46AF0","36","1","1","1","1",""
"9989F191-3C0D46B0-936AFCD9-2146744F","31","1","1","1","1",""
"D6550179-FA094EC5-9713CCC9-FA508A7C","34","1","1","1","1",""
"F4F6BA49-78354D96-A02C34AB-E1D61924","34","1","1","1","1",""
"57063D71-412843B9-B630C6AF-8A43B095","41","1","1","1","1",""
"97FA9825-9CF94BB5-9606286D-5EA382F6","31","1","1","1","1",""
"F892E0FB-120440A4-A3F99A75-4562ADA3","32","1","1","1","1",""
"0D3692A0-C4D74DEE-A2B248FD-3FC29410","31","1","1","1","1",""
"E13282E0-662243D5-9FFE2923-DE784629","33","1","1","1","1",""
"2F0AAC71-78844481-81D0CA67-D45825BF","32","1","1","1","1",""
"407D58D4-5B564BAD-9C602CFF-050183C5","32","1","1","0","1",""
"1207FE98-F22A4755-89830CA0-DB2D83B4","33","1","1","1","1",""
"13AD08ED-F54244F3-9AF980BB-5CEF63FE","34","1","1","1","1",""
"23DE2885-12E947D3-A494A13E-2ECD09E8","34","1","1","1","1",""
"B05B9AAF-5DBB4374-9DC9AB98-8303522E","33","1","1","1","1",""
"F70333E3-373D4E26-BA5872E4-285F3ED3","36","1","1","1","1",""
"05406DA4-E8884D8C-9D6B2025-C8680895","31","1","1","1","1",""
"6AACA5B6-8530436F-A393E18A-7E5A045C","31","1","1","1","1",""
"6C392CA5-3D6E46C9-9658A819-AAD5FDC8","31","1","1","1","1",""
"BF3D02FB-9B0748CB-AA9ACF83-211BD1D1","31","1","1","1","1",""
"3FEB8DCE-5ADD47CA-8D93A2AF-6015579C","33","1","1","1","1",""
"8876EB8A-851A41C7-9E66D475-5C23B045","33","1","1","1","1",""
"00000000-00000000-00000000-00020001","31","1","1","0","1",""
"03773B9F-C10B402A-BA2CD677-9631A58E","35","1","1","0","1",""
"8117D63A-734842CF-B72D1590-F2703421","31","1","1","0","1",""
"D4E705D5-750C448F-87A38918-FBF5FED2","32","1","1","1","1",""
"9D9518DB-2AA4480B-8BA9F202-704B7443","34","1","1","1","1",""
"40EA3882-124A4C9E-AE39A84D-F7C635F2","33","1","1","1","1",""
"00000000-00000000-00000000-00010032","0","1","1","0","1",""
"14D70F3E-0F4C4A4A-82E40412-6348BB8C","32","1","1","1","1",""
